datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-24T08:39:00-05:00,622.53,622.62,622.53,622.59,2587.0,622.46,622.62,622.46,622.59,622.5,622.63,622.49,622.61
2025-12-24T08:40:00-05:00,622.59,622.59,622.54,622.55,2294.0,622.59,622.59,622.52,622.54,622.61,622.61,622.54,622.57
2025-12-24T08:41:00-05:00,622.55,622.64,622.55,622.64,3182.0,622.54,622.64,622.54,622.64,622.57,622.65,622.57,622.65
2025-12-24T08:42:00-05:00,622.65,622.71,622.64,622.7,2948.0,622.64,622.71,622.63,622.69,622.65,622.72,622.64,622.72
2025-12-24T08:43:00-05:00,622.7,622.7,622.62,622.63,1539.0,622.69,622.72,622.58,622.61,622.72,622.73,622.61,622.63
2025-12-24T08:44:00-05:00,622.63,622.65,622.61,622.61,1640.0,622.61,622.64,622.57,622.62,622.63,622.65,622.61,622.63
2025-12-24T08:45:00-05:00,622.62,622.67,622.61,622.67,2219.0,622.62,622.67,622.59,622.66,622.63,622.68,622.61,622.67
2025-12-24T08:46:00-05:00,622.66,622.66,622.58,622.58,3984.0,622.66,622.67,622.55,622.56,622.67,622.68,622.56,622.58
2025-12-24T08:47:00-05:00,622.57,622.59,622.55,622.58,2444.0,622.56,622.6,622.55,622.56,622.58,622.6,622.56,622.58
2025-12-24T08:48:00-05:00,622.57,622.61,622.55,622.56,2203.0,622.56,622.61,622.55,622.57,622.58,622.62,622.56,622.58
2025-12-24T08:49:00-05:00,622.58,622.62,622.57,622.62,1509.0,622.57,622.63,622.56,622.61,622.58,622.64,622.57,622.62
2025-12-24T08:50:00-05:00,622.58,622.64,622.54,622.62,3033.0,622.61,622.65,622.52,622.63,622.62,622.66,622.54,622.65
2025-12-24T08:51:00-05:00,622.63,622.66,622.61,622.65,3063.0,622.63,622.67,622.6,622.65,622.65,622.68,622.62,622.67
2025-12-24T08:52:00-05:00,622.66,622.8,622.65,622.78,6779.0,622.65,622.8,622.65,622.77,622.67,622.81,622.66,622.79
2025-12-24T08:53:00-05:00,622.77,622.86,622.77,622.79,7829.0,622.77,622.87,622.76,622.78,622.79,622.88,622.77,622.8
2025-12-24T08:54:00-05:00,622.78,622.79,622.76,622.78,6729.0,622.78,622.79,622.74,622.77,622.8,622.8,622.76,622.78
2025-12-24T08:55:00-05:00,622.77,622.77,622.68,622.69,4832.0,622.77,622.77,622.66,622.71,622.78,622.79,622.67,622.72
2025-12-24T08:56:00-05:00,622.69,622.7,622.66,622.67,2048.0,622.71,622.71,622.63,622.67,622.72,622.72,622.65,622.7
2025-12-24T08:57:00-05:00,622.69,622.7,622.65,622.67,2038.0,622.67,622.68,622.65,622.67,622.7,622.7,622.66,622.68
